Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name,,,,,,
HDF,Hubble,12.613722,62.21611,20,0.1,HDF,Ursa Major,Other,Hubble Deep Field,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
V838Mon,Other,7.06801,-3.84725,15.74,0.1,V838,Monoceros,Other,V838 Monocerotis,,,,,,
,,,,,,,,,,,,,,,
M1  -  Supernova Remnant,,,,,,,,,,,,,,,
M2  -  Globular Cluster,,,,,,,,,,,,,,,
M3  -  Globular Cluster,,,,,,,,,,,,,,,
M4  -  Globular Cluster,,,,,,,,,,,,,,,
M5  -  Globular Cluster,,,,,,,,,,,,,,,
M6  -  Open Cluster,,,,,,,,,,,,,,,
M7  -  Open Cluster,,,,,,,,,,,,,,,
M8  -  Diffuse Nebula,,,,,,,,,,,,,,,
M9  -  Globular Cluster,,,,,,,,,,,,,,,
M10  -  Globular Cluster,,,,,,,,,,,,,,,
M11  -  Open Cluster,,,,,,,,,,,,,,,
M12  -  Globular Cluster,,,,,,,,,,,,,,,
M13  -  Globular Cluster,,,,,,,,,,,,,,,
M14  -  Globular Cluster,,,,,,,,,,,,,,,
M15  -  Globular Cluster,,,,,,,,,,,,,,,
M16  -  Open Cluster,,,,,,,,,,,,,,,
M17  -  Diffuse Nebula,,,,,,,,,,,,,,,
M18  -  Open Cluster,,,,,,,,,,,,,,,
M19  -  Globular Cluster,,,,,,,,,,,,,,,
M20  -  Diffuse Nebula,,,,,,,,,,,,,,,
M21  -  Open Cluster,,,,,,,,,,,,,,,
M22  -  Globular Cluster,,,,,,,,,,,,,,,
M23  -  Open Cluster,,,,,,,,,,,,,,,
M24  -  Milky Way Patch,,,,,,,,,,,,,,,
M25  -  Open Cluster,,,,,,,,,,,,,,,
M26  -  Open Cluster,,,,,,,,,,,,,,,
M27  -  Planetary Nebula,,,,,,,,,,,,,,,
M28  -  Globular Cluster,,,,,,,,,,,,,,,
M29  -  Open Cluster,,,,,,,,,,,,,,,
M30  -  Globular Cluster,,,,,,,,,,,,,,,
M31  -  Spiral Galaxy,,,,,,,,,,,,,,,
M32  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M33  -  Spiral Galaxy,,,,,,,,,,,,,,,
M34  -  Open Cluster,,,,,,,,,,,,,,,
M35  -  Open Cluster,,,,,,,,,,,,,,,
M36  -  Open Cluster,,,,,,,,,,,,,,,
M37  -  Open Cluster,,,,,,,,,,,,,,,
M38  -  Open Cluster,,,,,,,,,,,,,,,
M39  -  Open Cluster,,,,,,,,,,,,,,,
M40  -  Binary Star,,,,,,,,,,,,,,,
M41  -  Open Cluster,,,,,,,,,,,,,,,
M42  -  Diffuse Nebula,,,,,,,,,,,,,,,
M43  -  Diffuse Nebula,,,,,,,,,,,,,,,
M44  -  Open Cluster,,,,,,,,,,,,,,,
M45  -  Open Cluster,,,,,,,,,,,,,,,
M46  -  Open Cluster,,,,,,,,,,,,,,,
M47  -  Open Cluster,,,,,,,,,,,,,,,
M48  -  Open Cluster,,,,,,,,,,,,,,,
M49  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M50  -  Open Cluster,,,,,,,,,,,,,,,
M51  -  Spiral Galaxy,,,,,,,,,,,,,,,
M52  -  Open Cluster,,,,,,,,,,,,,,,
M53  -  Globular Cluster,,,,,,,,,,,,,,,
M54  -  Globular Cluster,,,,,,,,,,,,,,,
M55  -  Globular Cluster,,,,,,,,,,,,,,,
M56  -  Globular Cluster,,,,,,,,,,,,,,,
M57  -  Planetary Nebula,,,,,,,,,,,,,,,
M58  -  Spiral Galaxy,,,,,,,,,,,,,,,
M59  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M60  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M61  -  Spiral Galaxy,,,,,,,,,,,,,,,
M62  -  Globular Cluster,,,,,,,,,,,,,,,
M63  -  Spiral Galaxy,,,,,,,,,,,,,,,
M64  -  Spiral Galaxy,,,,,,,,,,,,,,,
M65  -  Spiral Galaxy,,,,,,,,,,,,,,,
M66  -  Spiral Galaxy,,,,,,,,,,,,,,,
M67  -  Open Cluster,,,,,,,,,,,,,,,
M68  -  Globular Cluster,,,,,,,,,,,,,,,
M69  -  Globular Cluster,,,,,,,,,,,,,,,
M70  -  Globular Cluster,,,,,,,,,,,,,,,
M71  -  Globular Cluster,,,,,,,,,,,,,,,
M72  -  Globular Cluster,,,,,,,,,,,,,,,
M73  -  Asterism,,,,,,,,,,,,,,,
M74  -  Spiral Galaxy,,,,,,,,,,,,,,,
M75  -  Globular Cluster,,,,,,,,,,,,,,,
M76  -  Planetary Nebula,,,,,,,,,,,,,,,
M77  -  Spiral Galaxy,,,,,,,,,,,,,,,
M78  -  Diffuse Nebula,,,,,,,,,,,,,,,
M79  -  Globular Cluster,,,,,,,,,,,,,,,
M80  -  Globular Cluster,,,,,,,,,,,,,,,
M81  -  Spiral Galaxy,,,,,,,,,,,,,,,
M82  -  Irregular Galaxy,,,,,,,,,,,,,,,
M83  -  Spiral Galaxy,,,,,,,,,,,,,,,
M84  -  Lenticular Galaxy,,,,,,,,,,,,,,,
M85  -  Lenticular Galaxy,,,,,,,,,,,,,,,
M86  -  Lenticular Galaxy,,,,,,,,,,,,,,,
M87  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M88  -  Spiral Galaxy,,,,,,,,,,,,,,,
M89  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M90  -  Spiral Galaxy,,,,,,,,,,,,,,,
M91  -  Spiral Galaxy,,,,,,,,,,,,,,,
M92  -  Globular Cluster,,,,,,,,,,,,,,,
M93  -  Open Cluster,,,,,,,,,,,,,,,
M94  -  Spiral Galaxy,,,,,,,,,,,,,,,
M95  -  Spiral Galaxy,,,,,,,,,,,,,,,
M96  -  Spiral Galaxy,,,,,,,,,,,,,,,
M97  -  Planetary Nebula,,,,,,,,,,,,,,,
M98  -  Spiral Galaxy,,,,,,,,,,,,,,,
M99  -  Spiral Galaxy,,,,,,,,,,,,,,,
M100  -  Spiral Galaxy,,,,,,,,,,,,,,,
M101  -  Spiral Galaxy,,,,,,,,,,,,,,,
M102  -  Spiral Galaxy,,,,,,,,,,,,,,,
M103  -  Open Cluster,,,,,,,,,,,,,,,
M104  -  Spiral Galaxy,,,,,,,,,,,,,,,
M105  -  Elliptical Galaxy,,,,,,,,,,,,,,,
M106  -  Spiral Galaxy,,,,,,,,,,,,,,,
M107  -  Globular Cluster,,,,,,,,,,,,,,,
M108  -  Spiral Galaxy,,,,,,,,,,,,,,,
M109  -  Spiral Galaxy,,,,,,,,,,,,,,,
M110  -  Elliptical Galaxy,,,,,,,,,,,,,,,
NGC6543  -  Planetary Nebula,,,,,,,,,,,,,,,
NGC5139  -  Globular Cluster,,,,,,,,,,,,,,,
HDF  -  Hubble Deep Field,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,parsecs
1,1952,PN,VI,7200,6 x 4,8.4,05 34.5,+22 01,Tau,Wi.,Bevis,1731,Crab nebula,,2207.4828862437
2,7089,GC,II,52000,8.2,6.3,21 33.5,-00 50,Aqr,Au.,Maraldi,1746,,,15942.9319562041
3,5272,GC,VI,45000,19,6.4,13 42.2,+28 23,CVn,Sp.,Messier,1764,,,13796.7680390228
4,6121,GC,IX,7000,14,6.4,16 23.7,+26 31,Sco,Su.,de Cheseaux,1745,,,2146.1639171813
5,5904,GC,V,27000,12.7,6.2,15 18.5,+02 05,Ser,Su.,Kirch,1702,,,8278.0608234137
6,6405,OC,e,1850,25,5.3,17 40.1,-32 13,Sco,Su.,de Cheseaux,1745,Butterfly cluster,,567.2004638265
7,6475,OC,e,1230,60,3.2,17 53.9,-34 49,Sco,Su.,Ptolemy,138?,Ptolemy's cluster,,377.1116597333
8,6523,DN,,2500,60 x 35,6,18 03.2,-24 23,Sgr,Su.,Flamsteed,1680,Lagoon nebula,,766.487113279
9,6333,GC,VIII,26000,6,7.3,17 19.1,-18 31,Oph,Su.,Messier,1764,,,7971.4659781021
10,6254,GC,VII,16000,8.2,6.7,16 57.1,-04 07,Oph,Su.,Messier,1764,,,4905.5175249859
11,6705,OC,g,5670,10,6.3,18 51.1,-06 16,Sct,Su.,Kirch,1681,Wild duck cluster,,1738.3927729169
12,6218,GC,IX,19000,9.3,6.6,16 47.2,-01 57,Oph,Su.,Messier,1764,,,5825.3020609207
13,6205,GC,V,22000,10,5.7,16 41.7,+36 27,Her,Su.,Halley,1714,The Hercules cluster,,6745.0865968556
14,6402,GC,VIII,23000,3,7.7,17 37.6,-03 15,Oph,Su.,Messier,1764,,,7051.6814421672
15,7078,GC,IV,49000,7.4,6,21 30.0,+12 10,Peg,Au.,Maraldi,1746,,,15023.1474202693
16,6611,DN,,4600,35 x 28,6.4,18 18.8,-13 47,Ser,Su.,de Cheseaux,1745,Eagle nebula,,1410.3362884335
17,6618,DN,,3300,46 x 37,7,18 20.8,-16 11,Sgr,Su.,de Cheseaux,1745,Omega nebula,,1011.7629895283
18,6613,OC,d,4900,9,7.5,18 19.9,-17 08,Sgr,Su.,Messier,1764,,,1502.3147420269
19,6273,GC,VIII,22000,4.3,6.6,17 02.6,-26 15,Oph,Su.,Messier,1764,,,6745.0865968556
20,6514,DN,,2200,29 x 27,9,18 01.9,-23 02,Sgr,Su.,Messier,1764,Trifid nebula,,674.5086596856
21,6531,OC,d,2960,10,6.5,18 04.7,-22 30,Sgr,Su.,Messier,1764,,,907.5207421224
22,6656,GC,VII,10000,17.3,5.9,18 36.4,-23 55,Sgr,Su.,Ihle,1665,,,3065.9484531162
23,6494,OC,e,4490,25,6.9,17 56.9,-19 01,Sgr,Su.,Messier,1764,,,1376.6108554492
24,6603,SC,-,16000,90,4.6,18 18.4,-18 25,Sgr,Su.,Messier,1764,Star cloud,,4905.5175249859
25,IC4725,OC,d,1790,40,6.5,18 31.7,-19 15,Sgr,Su.,de Cheseaux,1745,,,548.8047731078
26,6694,OC,f,4900,9,9.3,18 45.3,-09 24,Sct,Su.,Messier,1764,,,1502.3147420269
27,6853,PN,IIIa,970,8 x 4,7.6,19 59.6,+22 43,Vul,Su.,Messier,1764,Dumb-bell nebula,,297.3969999523
28,6626,GC,IV,15000,4.7,7.3,18 24.6,-24 52,Sgr,Su.,Messier,1764,,,4598.9226796743
29,6913,OC,d,3100,12,7.1,20 23.9,+38 32,Cyg,Su.,Messier,1764,,,950.444020466
30,7099,GC,V,41000,5.7,8.4,21 40.3,-23 11,Cap,Au.,Messier,1764,,,12570.3886577763
31,224,GX,Sb,2300000,109 x 62,4.8,00 42.7,+41 16,And,Au.,?,Ancient,Andromeda galaxy,,705168.144216721
32,221,GX,E2,2300000,8.7 x 6.5,8.7,00 42.7,+40 52,And,Au.,le Gentil,1749,Satellite galaxy of M31,,705168.144216721
33,598,GX,Scd,2600000,70.8 x 41.7,6.7,01 33.8,+30 39,Tri,Au.,Messier,1764,,,797146.597810206
34,1039,OC,d,1400,18,5.5,02 42.0,+42 47,Per,Au.,Messier,1764,,,429.2327834363
35,2168,OC,e,2570,40,5.3,06 08.9,+24 20,Gem,Wi.,de Cheseaux,1745,,,787.9487524509
36,1960,OC,f,3780,12,6.3,05 35.3,+34 09,Aur,Wi.,le Gentil,1749,,,1158.9285152779
37,2099,OC,f,4720,20,6.2,05 52.4,+32 33,Aur,Wi.,Messier,1764,,,1447.1276698708
38,1912,OC,e,3580,20,7.4,05 28.7,+35 50,Aur,Wi.,le Gentil,1749,,,1097.6095462156
39,7092,OC,e,810,30,5.2,21 32.2,+48 26,Cyg,Su.,Messier,1764,,,248.3418247024
40,-,,,510,,,12 23.4,+58 03,UMa,Sp.,,,(Unidentified),,156.3633711089
41,2287,OC,e,2470,30,5,06 47.0,-20 44,CMa,Wi.,Flamsteed,1702,,,757.2892679197
