Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name,,,,,,
62,6266,GC,IV,22000,4.3,6.6,17 01.3,-30 07,Oph,Su.,Messier,1771,,,6745.0865968556
63,5055,GX,Sbc,23800000,12.6 x 7.2,9.5,13 15.8,+42 02,CVn,Sp.,Mechain,1779,Sunflower galaxy,,7296957.31841651
64,4826,GX,Sab,13400000,10 x 5.4,8.8,12 56.8,+21 41,Com,Sp.,Bode,1779,Black-eye galaxy,,4108370.92717568
65,3623,GX,Sb,27000000,7.8 x 1.5,9.3,11 18.9,+13 06,Leo,Sp.,Mechain,1780,,,8278060.82341368
66,3627,GX,Sb,27000000,9.1 x 4.2,8.4,11 20.2,+13 00,Leo,Sp.,Mechain,1780,,,8278060.82341368
67,2682,OC,f,2700,15,6.1,08 50.5,+11 49,Cnc,Sp.,Koehler,1779,,,827.8060823414
68,4590,GC,X,37000,2.9,8.2,12 39.5,-26 45,Hya,Sp.,Mechain,1780,,,11344.0092765299
69,6637,GC,V,23000,2.8,8.9,18 31.4,-32 21,Sgr,Su.,Lacaille,1751,,,7051.6814421672
70,6681,GC,V,65000,2.5,9.6,18 43.3,-32 18,Sgr,Su.,Messier,1780,,,19928.6649452552
71,6838,GC,g,18000,6.1,9,19 53.7,+18 47,Sge,Su.,de Cheseaux,1745,,,5518.7072156091
72,6981,GC,IX,60000,2,9.8,20 53.4,-12 33,Aqr,Au.,Mechain,1780,,,18395.6907186971
73,6994,SG,,2500,2.8,9,20 59.1,-12 38,Aqr,Au.,Mechain,1780,,,766.487113279
74,628,GX,Sc,31600000,10.5 x 9.5,10.2,01 36.7,+15 47,Psc,Au.,Mechain,1780,,,9688397.11184713
75,6864,GC,I,79000,1.9,8,20 06.1,-21 55,Sgr,Su.,Mechain,1780,,,24220.9927796178
76,650,PN,V,8180,2.5 x 1.5,12.2,01 42.0,+51 34,Per,Au.,Mechain,1780,Little dumb-bell nebula,,2507.945834649
77,1068,GX,Sb,46900000,7.1 x 6.0,8.9,02 42.7,-00 01,Cet,Au.,Mechain,1780,,,14379298.2451149
78,2068,DN,,1600,8 x 6,8.3,05 46.8,+00 03,Ori,Wi.,Mechain,1780,,,490.5517524986
79,1904,GC,V,43000,3.2,7.9,05 24.3,-24 31,Lep,Wi.,Mechain,1780,,,13183.5783483996
80,6093,GC,II,36000,3.3,7.7,16 17.1,-22 59,Sco,Su.,Messier,1781,,,11037.4144312182
81,3031,GX,Sab,17900000,26.9 x 14.1,7.9,09 55.6,+69 04,UMa,Sp.,Bode,1774,Bode's galaxy,,5488047.73107796
82,3034,GX,I0,17900000,11.2 x 4.3,8.8,09 56.0,+69 42,UMa,Sp.,Bode,1774,Bode's galaxy,,5488047.73107796
83,5236,GX,Sc,15300000,12.9 x 11.5,8.2,13 37.0,-29 52,Hya,Sp.,Lacaille,1751,,,4690901.13326775
84,4374,GX,E1,41000000,6.4 x 5.6,10,12 25.0,+12 53,Vir,Sp.,Messier,1781,,,12570388.6577763
85,4382,GX,SO,54800000,7.1 x 5.5,10,12 25.4,+18 11,Com,Sp.,Mechain,1781,,,16801397.5230767
86,4406,GX,E3,54800000,8.9 x 5.8,9.8,12 26.2,+12 56,Vir,Sp.,Messier,1781,,,16801397.5230767
87,4486,GX,E1,54800000,8.3 x 6.6,9.6,12 30.8,+12 23,Vir,Sp.,Messier,1781,,,16801397.5230767
88,4501,GX,Sb,41000000,6.9 x 3.7,10.7,12 32.0,+14 25,Com,Sp.,Messier,1781,,,12570388.6577763
89,4552,GX,E0,41000000,5.1 x 4.7,10.5,12 35.6,+12 33,Vir,Sp.,Messier,1781,,,12570388.6577763
90,4569,GX,Sc,41000000,9.6 x 4.4,10.3,12 36.8,+13 10,Vir,Sp.,Messier,1781,,,12570388.6577763
91,4548,GX,SBb,41000000,5.4 x 4.3,11.1,12 35.5,+14 30,Com,Sp.,Messier,1781,(confused with M58?),,12570388.6577763
92,6341,GC,IV,36000,8.3,6.1,17 17.1,+43 09,Her,Su.,Bode,1777,,,11037.4144312182
93,2447,OC,g,3580,25,6,07 44.5,-23 52,Pup,Wi.,Messier,1781,,,1097.6095462156
94,4736,GX,Sbp,14000000,11.2 x 9.1,9,12 50.9,+41 08,CVn,Sp.,Mechain,1781,,,4292327.83436265
95,3351,GX,SBb,29000000,7.4 x 5.0,10.7,10 43.9,+11 42,Leo,Sp.,Mechain,1781,,,8891250.51403692
96,3368,GX,Sbp,29000000,7.5 x 5.2,9.9,10 46.7,+11 49,Leo,Sp.,Mechain,1781,,,8891250.51403692
97,3587,PN,P,7460,3.2 x 3.2,12,11 14.9,+55 02,UMa,Sp.,Mechain,1781,Owl nebula,,2287.1975460247
98,4192,GX,Sb,36000000,8.4 x 1.9,10.7,12 13.8,+14 54,Com,Sp.,Mechain,1781,,,11037414.4312182
99,4254,GX,Sc,41000000,4.6 x 3.9,10.1,12 18.8,+14 25,Com,Sp.,Mechain,1781,,,12570388.6577763
100,4321,GX,Sc,41000000,5.3 x 4.5,10.6,12 22.9,+15 49,Com,Sp.,Mechain,1781,,,12570388.6577763
101,5457,GX,Scd,22500000,28.8 x 26.9,8.3,14 03.2,+54 21,UMa,Sp.,Mechain,1781,Pinwheel nebula,,6898384.0195114
102,5866,GX,E6p,32000000,2.8 x 1,10.8,14 05.1,+55 57,Dra,Su.,,,(confused with M101?),,9811035.04997177
103,581,OC,d,3740,5,7.4,01 33.2,+60 42,Cas,Au.,Mechain,1781,,,1146.6647214655
104,4594,GX,Sa,65200000,8.7 x 3.5,8.7,12 40.0,-11 37,Vir,Sp.,Mechain,1781,Sombrero nebula,,19989983.9143175
105,3379,GX,E1,29000000,5.3 x 4.7,10.1,10 47.8,+12 35,Leo,Sp.,Mechain,1781,,,8891250.51403692
106,4258,GX,Sbp,21000000,19.5 x 7,8.6,12 19.0,+47 18,CVn,Sp.,Mechain,1781,,,6438491.75154398
107,6171,GC,X,56000,2.2,9.2,16 32.5,-13 03,Oph,Su.,Mechain,1782,,,17169.3113374506
108,3556,GX,Sc,23000000,8.7 x 2.3,10.7,11 11.6,+55 41,UMa,Sp.,Mechain,1781,,,7051681.44216721
109,3992,GX,Sb,41000000,6.2 x 3.5,10.8,11 57.6,+53 22,UMa,Sp.,Mechain,1781,,,12570388.6577763
110,205,GX,E6,2100000,10 x 4.5,9.4,00 40.3,+41 41,And,Au.,Messier,1772,(Unauthorized),,643849.175154397
